gene_id,SRR24630895,SRR24630900,SRR24630901,SRR24630902,SRR24630906,SRR24630917,SRR24630918,SRR24630919,SRR24630920,SRR24630954,SRR24630955,SRR24630956,SRR25031741,SRR25031747,SRR25031748
CaT2T02g00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T02g00016,8,8,11,22,9,0,8,11,7,7,10,2,3,5,0
CaT2T02g00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T02g00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T02g00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T02g00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T09g00779,149,154,187,180,135,88,218,265,170,108,98,77,30,16,38
CaT2T09g00778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T09g00771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T09g00770,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
CaT2T09g00773,176,77,94,89,213,150,161,170,116,143,160,109,8,14,0
CaT2T09g00772,49,23,46,59,46,39,31,34,40,37,18,32,0,0,5
CaT2T09g00775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T09g00774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T09g00777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T09g00776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T07g00115,40,10,23,12,28,33,13,20,23,15,18,15,0,0,0
CaT2T07g03178,1180,331,406,562,1428,885,846,794,730,851,893,836,37,52,61
CaT2T07g03179,20,9,18,14,26,30,27,30,38,23,24,7,6,0,0
CaT2T07g03174,45,29,29,25,58,64,34,43,43,24,40,43,0,0,7
CaT2T07g03175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T07g03176,60,39,68,56,100,62,75,63,35,46,74,59,0,9,10
CaT2T07g03177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T07g03170,77,23,17,33,74,57,66,40,33,48,47,40,0,5,6
CaT2T07g03171,13,16,23,20,22,10,3,16,14,13,8,7,15,10,8
CaT2T07g03172,31,23,33,24,70,58,46,44,39,40,57,51,16,12,9
CaT2T07g03173,111,45,47,51,63,36,69,66,57,70,49,60,11,10,5
CaT2T01g00292,1121,248,333,284,1106,784,602,525,601,622,639,643,27,27,26
CaT2T01g00293,288,201,238,206,338,219,273,285,268,195,210,203,15,28,15
CaT2T01g00290,45,33,26,34,61,57,41,37,23,25,76,56,9,0,10
CaT2T01g00291,691,326,344,381,769,503,664,615,583,435,455,416,38,59,37
CaT2T01g00296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g00297,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
CaT2T01g00294,73,92,73,190,78,67,154,150,127,38,53,39,30,31,31
CaT2T01g00295,18,5,8,27,15,26,16,19,4,4,18,5,3,7,2
CaT2T01g00298,209,87,89,134,222,164,156,180,121,115,148,142,0,29,22
CaT2T01g00299,379,180,189,239,401,321,403,297,328,236,214,198,49,59,71
CaT2T03g00669,24,11,14,24,10,6,32,25,35,5,10,12,3,0,0
CaT2T03g00668,6,2,5,0,5,0,0,0,8,7,0,0,0,0,0
CaT2T06g02357,43,48,52,53,52,32,48,106,64,47,45,31,13,13,8
CaT2T01g03921,1629,757,866,863,1977,1251,1133,1199,1188,1025,864,912,133,217,136
CaT2T01g03920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g03923,298,81,106,136,298,232,182,175,165,171,166,145,24,22,22
CaT2T01g03922,813,331,326,352,832,573,679,613,603,446,493,395,49,62,40
CaT2T03g00665,692,194,219,218,685,485,331,312,280,342,340,327,49,74,61
CaT2T03g00664,7,7,12,8,18,7,7,2,6,4,15,7,0,0,0
CaT2T01g03927,8,2,0,6,14,23,2,9,3,10,6,5,4,2,2
CaT2T03g00666,1038,395,570,723,1124,846,748,822,723,590,588,561,140,147,109
CaT2T06g02355,0,8,6,3,6,0,20,8,8,6,0,3,0,0,0
CaT2T02g00435,54,19,22,30,58,57,33,38,32,22,32,25,8,9,0
CaT2T06g02353,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CaT2T01g00748,624,204,221,277,740,475,547,516,568,413,409,403,52,41,34
CaT2T01g00749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T03g05109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T03g05108,24,0,0,0,26,20,0,0,0,5,5,0,0,3,0
CaT2T02g00437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g05518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g05519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g00740,1450,356,341,407,1380,1329,598,590,590,889,810,832,71,94,62
CaT2T01g05517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g05514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T03g05100,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1
CaT2T01g00744,10,3,2,13,7,4,5,4,5,2,5,6,3,3,2
CaT2T01g00745,3,0,2,3,0,3,0,0,7,0,0,0,0,2,2
CaT2T01g00746,722,205,271,269,751,439,498,410,487,443,394,386,49,57,34
CaT2T01g05511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T02g01058,37,16,23,13,55,35,47,26,23,25,18,25,10,17,14
CaT2T02g01059,144,9,22,11,162,126,62,57,52,21,38,28,3,10,4
CaT2T02g00438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T02g01050,66,70,51,70,88,47,222,168,183,44,72,58,5,8,8
CaT2T02g01051,314,126,118,90,331,267,226,258,167,140,167,151,13,18,23
