Unnamed: 0	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CaT2T04g00366	45.7345237461522	-1.08265928063163	0.34871158816973	-3.10474133169519	0.0019044549448333	0.0109305071655056
CaT2T04g00362	1070.73084761103	-1.33770760264088	0.25664798602976	-5.21222715726185	1.86586875245098e-07	3.37729891196711e-06
CaT2T08g02165	98.5918906190574	-1.15108961944091	0.271995061462291	-4.23202396856936	2.3159772058534e-05	0.0002448477158504
CaT2T03g01126	28.1847679963736	-1.63823667523874	0.44943697912499	-3.6450865223156	0.0002673018568133	0.0020865812205121
CaT2T01g00570	113.97115973908	-2.13903619142079	0.332307493947461	-6.43691830723199	1.21923510352914e-10	4.67223586528107e-09
CaT2T07g03165	1354.60874015444	-1.66165587028502	0.258178642407609	-6.4360702139785	1.22606334333317e-10	4.68823268903113e-09
CaT2T08g02902	366.553214841914	-1.2480774840217	0.286712889114495	-4.35305677354218	1.3425236517075e-05	0.0001523251305784
CaT2T01g00965	46.8972250343935	-1.13655533550373	0.394445534316874	-2.8813999313545	0.0039591292964128	0.0199549153068271
CaT2T02g02348	57.3432856741138	-1.21169394992745	0.440848912940575	-2.74854698369367	0.0059860055171845	0.0278907126921154
CaT2T10g00876	196.772547957944	-1.14344423088087	0.231696768357029	-4.93508925044178	8.0114115886047e-07	1.24805641203078e-05
CaT2T10g00878	65.1574795240791	-1.35247335609527	0.297559709728967	-4.54521668046787	5.48787695127133e-06	6.81778018432907e-05
CaT2T12g01247	40.3624602532789	-1.7056099186476	0.423416139035555	-4.02821187338911	5.62026838138602e-05	0.0005329450414684
CaT2T07g02359	671.56897872793	-2.1403049791559	0.376890845652736	-5.67884575559034	1.35606692008412e-08	3.25492910464757e-07
CaT2T05g03214	260.199992726634	-1.05344645548692	0.284394154343128	-3.70417759788378	0.0002120776436484	0.0017045330540009
CaT2T07g02867	107.118257154909	-1.30405326475731	0.318262180862826	-4.09741823933321	4.17783657973874e-05	0.0004084430604187
CaT2T01g03222	300.669408430941	-1.51736082673896	0.312678274248152	-4.85278623974599	1.2173888827174e-06	1.80271517201052e-05
CaT2T01g03220	433.635652755814	-1.61298521657434	0.310183998926209	-5.2000916299943	1.99190303413486e-07	3.59071010214555e-06
CaT2T04g01190	446.926240072448	-1.30738226445252	0.307282230970788	-4.254662758475	2.09364324333332e-05	0.0002247041405633
CaT2T03g02641	46.6591476659604	-1.41616560044034	0.368898297666867	-3.83890521966898	0.0001235841218444	0.0010562346862626
CaT2T01g04483	145.683777429232	-1.38351453422224	0.295030989778065	-4.68938715645764	2.7402449711776e-06	3.72664878066385e-05
CaT2T01g04485	674.182867457861	-1.33498835475309	0.209781805959105	-6.36369940972546	1.96951403883726e-10	7.119378189292161e-09
CaT2T02g00842	120.428242024464	-2.35507786852421	0.346080618393723	-6.80499786279546	1.01050736947731e-11	4.890855668270161e-10
CaT2T07g03400	8673.31134764181	-1.250556783786	0.269865078788429	-4.63400744327657	3.58654089989117e-06	4.71778343540412e-05
CaT2T07g03401	829.336859085302	-2.01475831229253	0.323345651177122	-6.23097389730746	4.63544347382811e-10	1.55388509314322e-08
CaT2T10g02714	85.6498029542001	-1.21241715666212	0.305049347056169	-3.97449517057604	7.05286932214038e-05	0.0006509717316872
CaT2T01g04745	21.6612965580557	-2.29367304476184	0.54690259057295	-4.19393340660341	2.74158498106535e-05	0.0002837307573257
CaT2T11g01725	196.19570936387	-1.15957717501655	0.268207747178651	-4.32342908515676	1.53622533542817e-05	0.0001714400301685
CaT2T06g00267	24.2607788859905	-1.51886644105905	0.431211604402743	-3.52232274259591	0.0004277830085902	0.0031196770491385
CaT2T03g01014	796.06091215208	-1.12178446870196	0.41122978175867	-2.72787749930106	0.0063743275117414	0.0293405080308556
CaT2T05g01312	25.7983896624125	-1.33262667575227	0.416288164927324	-3.20121201616414	0.0013685079628876	0.0082709755978011
CaT2T05g00193	1180.17884018736	-1.07348327080524	0.257193014958469	-4.17384302205325	2.99504160258146e-05	0.0003061944730972
CaT2T04g01403	21.9626386691223	-2.04988544341498	0.464586716086239	-4.41227734766845	1.02288964149834e-05	0.0001196311260887
CaT2T03g03012	101.57334275638	-1.00903437537167	0.258900728161533	-3.89737944167588	9.72392020089311e-05	0.0008567719414911
CaT2T08g01821	31.8318692264306	-1.35443397391647	0.415407006327867	-3.26049862733288	0.0011121650553565	0.0069622635960062
CaT2T10g02840	85.1090564081472	-2.08639646472179	0.370287475369248	-5.63453155589789	1.75534818561085e-08	4.09102652335108e-07
CaT2T08g02500	257.627673366972	-1.5498380017081	0.278177289515341	-5.57140377781498	2.52694915614793e-08	5.70128784067808e-07
CaT2T02g01173	123.014224383321	-2.1502957902509	0.374780111427378	-5.737486394519	9.60919963072156e-09	2.3808712577325e-07
CaT2T01g04563	229.134695910174	-1.17892114550462	0.341546835105759	-3.45171152044073	0.000557042948383	0.0038712512691323
CaT2T03g04938	49.0437929075151	-1.51106641070907	0.429047133404081	-3.52191237992944	0.0004284457263976	0.0031224926578141
CaT2T07g02050	1159.51628440193	-1.83178990404329	0.218841810543336	-8.37038360949107	5.743096311999991e-17	7.35199561215883e-15
CaT2T11g00917	27.2151681816267	-1.40280823272774	0.495895901258883	-2.82883611089862	0.0046717616091205	0.022855536025124
CaT2T08g00832	24.7979255119483	-1.22816954935007	0.463963275361275	-2.64712664680999	0.0081178944457184	0.0355328848558134
CaT2T06g03333	3012.55908827146	-1.3595477328863	0.297027095872605	-4.57718420904404	4.71276443114094e-06	5.97671905531485e-05
CaT2T02g02436	937.547721095912	-2.35231632571433	0.35723327706434	-6.58481859541507	4.5544111633240596e-11	1.90208575913198e-09
CaT2T06g01518	123.559238010471	-2.04858415559286	0.330527092210515	-6.1979311344563	5.721016038130701e-10	1.87857749683303e-08
CaT2T01g04407	85.6191254421402	-1.29365836826005	0.342438379228544	-3.77778440364788	0.0001582297634896	0.0013074307772725
CaT2T06g00019	73.478069208028	-1.91810222263294	0.345411286149368	-5.55309655343309	2.80652950915364e-08	6.23649689417713e-07
CaT2T02g02034	332.329721011535	-1.32503393938498	0.220648284745028	-6.00518576845562	1.9111295964316703e-09	5.60830821437904e-08
CaT2T02g03077	164.914067429735	-1.18317750590518	0.239756958435808	-4.9349037192677	8.01903083009154e-07	1.2481427193339e-05
CaT2T03g01606	1405.74570145844	-1.03460930215066	0.242678221228038	-4.26329687482942	2.01432610846207e-05	0.000217247161368
CaT2T03g00558	482.662933107702	-2.32360141165859	0.434905518053786	-5.3427728902056	9.1535419308484e-08	1.7927546757247e-06
CaT2T03g00552	100.398213560367	-1.38821768220873	0.327728221995241	-4.23588079707365	2.2765753299103e-05	0.0002414044404453
CaT2T05g00353	151.805879876452	-1.15100426401638	0.290687638639002	-3.95959136551307	7.50781176534571e-05	0.0006850878235877
CaT2T04g02488	86.7884949360219	-1.48433530074971	0.441255767666407	-3.36388872285944	0.0007685252322858	0.0050982976919122
CaT2T05g00264	282.522018517457	-1.39495644036685	0.311832287855125	-4.47341886871874	7.69787736081219e-06	9.27630978554626e-05
CaT2T06g00606	220.798378542757	-1.06680323585089	0.356827130877815	-2.9896920484339	0.0027925883432696	0.0149089953678458
CaT2T11g03308	96.5233687826417	-2.67973355265735	0.373129718050129	-7.18177465644089	6.881227599196499e-13	4.2063587116749297e-11
CaT2T11g03302	89.7525760515165	-1.2072746345041	0.318463077686337	-3.79094067442624	0.0001500778018191	0.0012510249262193
CaT2T11g03307	32.1013428433101	-2.12577226991149	0.491391511174206	-4.32602562635209	1.51823767511651e-05	0.0001699694978999
CaT2T01g00231	86.2604009399092	-1.18630857525197	0.300630143510171	-3.94607327595491	7.94433104461882e-05	0.0007204545802578
CaT2T01g03763	153.462967922505	-1.05047448271778	0.291252074441816	-3.6067536505311	0.0003100517648566	0.0023711577826656
CaT2T01g03761	162.655834642003	-1.59651064318533	0.308748286442852	-5.17091337276406	2.32952546633145e-07	4.11945914796911e-06
CaT2T09g02171	742.585364407231	-1.50134784929039	0.353848391555064	-4.24291274207123	2.20637240785854e-05	0.0002353730371813
CaT2T03g01954	37.8699808535106	-1.8225943867807	0.384460675875571	-4.74065229852163	2.13031248784472e-06	2.96565015053308e-05
CaT2T02g03653	201.043821757229	-1.21584751303576	0.336166880547222	-3.61679744017784	0.0002982705328645	0.0022999769679551
CaT2T02g03654	12662.217766155	-1.49872765517301	0.34761719089044	-4.31143135163695	1.62201133549411e-05	0.0001793144696673
CaT2T02g01793	1180.59173030159	-1.40818938631609	0.276529350730443	-5.09236861330055	3.53617754258382e-07	5.94387368860949e-06
