""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T03g02394"	29583.4528889106	3.34561768681103	0.0390956298900401	85.5752342709625	0	0	"Yes"	"Yes"	"No"
"CaT2T04g01172"	1900.93900317539	-5.79741114594549	0.108810920940419	-53.2796808982063	0	0	"Yes"	"No"	"Yes"
"CaT2T09g02153"	3798.81875804743	4.98770089219683	0.0770028574762495	64.772932533513	0	0	"Yes"	"Yes"	"No"
"CaT2T09g00146"	14107.2504297912	-1.84140759967198	0.0409757226472726	-44.9389902289996	0	0	"Yes"	"No"	"Yes"
"CaT2T12g03747"	2185.66454102964	-2.7288558854218	0.0625147000006374	-43.6514273505909	0	0	"Yes"	"No"	"Yes"
"CaT2T07g00390"	5651.81113650883	5.44516261870352	0.0700508815010232	77.7315360210561	0	0	"Yes"	"Yes"	"No"
"CaT2T07g00392"	7001.13127268492	5.06607892196253	0.134428039258514	37.6861773027882	0	0	"Yes"	"Yes"	"No"
"CaT2T05g01794"	5044.86243971671	6.56616486607095	0.0983863729055955	66.7385601497005	0	0	"Yes"	"Yes"	"No"
"CaT2T11g02128"	1492.46999545849	3.27711127913961	0.0801296498279452	40.8976113857509	0	0	"Yes"	"Yes"	"No"
"CaT2T09g00649"	5398.10696458994	-2.63780385648768	0.0488724243662574	-53.9732556895392	0	0	"Yes"	"No"	"Yes"
"CaT2T08g02400"	4642.28028792529	3.26186240744249	0.0560003998129698	58.2471271336715	0	0	"Yes"	"Yes"	"No"
"CaT2T06g01812"	1375.72772201964	-3.0768661367687	0.073900857711928	-41.6350531243168	0	0	"Yes"	"No"	"Yes"
"CaT2T04g03002"	8782.84019777259	-4.15424283331126	0.0512583827487163	-81.0451405319708	0	0	"Yes"	"No"	"Yes"
"CaT2T04g03001"	8861.96240690669	-4.27276285558798	0.0590001392681529	-72.4195384720785	0	0	"Yes"	"No"	"Yes"
"CaT2T04g01330"	3096.58715040545	2.51639321439996	0.0553662679299146	45.4499338403184	0	0	"Yes"	"Yes"	"No"
"CaT2T01g00734"	1799.10367335796	4.04227667819565	0.0843638907921078	47.914773017721	0	0	"Yes"	"Yes"	"No"
"CaT2T02g00081"	6030.74528423996	-1.61203567096374	0.0427388111264632	-37.7183086865415	0	0	"Yes"	"No"	"Yes"
"CaT2T05g02815"	22642.3541466738	4.41921462569439	0.0383941400064874	115.101279126129	0	0	"Yes"	"Yes"	"No"
"CaT2T08g00695"	15808.6791815302	4.66975236818174	0.0482409694260948	96.800549900553	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03256"	26062.0398451862	1.75400719980908	0.0329069039851066	53.3021034310287	0	0	"Yes"	"Yes"	"No"
"CaT2T06g03062"	2057.71013261316	2.44826627774153	0.0642762705475299	38.0897375794561	0	0	"Yes"	"Yes"	"No"
"CaT2T05g00048"	2244.61323874489	2.38885983224836	0.0628628825976328	38.0011182041837	0	0	"Yes"	"Yes"	"No"
"CaT2T11g00972"	1259.52430669804	3.36528055730723	0.0859053479415364	39.1742846975895	0	0	"Yes"	"Yes"	"No"
"CaT2T08g01446"	2835.66548910983	4.32776522591636	0.0759165871651861	57.0068464286945	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03182"	16913.7656115649	2.48084427959857	0.0363356373829952	68.2757881318903	0	0	"Yes"	"Yes"	"No"
"CaT2T01g00979"	2016.16876060358	4.79655267578124	0.0948565497558207	50.5663835352277	0	0	"Yes"	"Yes"	"No"
"CaT2T02g02333"	3715.15552111741	4.76402290084335	0.0721893868026947	65.993397531748	0	0	"Yes"	"Yes"	"No"
"CaT2T06g01466"	3246.87000093104	1.98492839416111	0.0506159253981326	39.2154915384466	0	0	"Yes"	"Yes"	"No"
"CaT2T09g02636"	2785.13940057884	-2.63977877736719	0.055514914226406	-47.5508034940197	0	0	"Yes"	"No"	"Yes"
"CaT2T02g04027"	7538.03236481354	3.97756937803785	0.0473129747290583	84.0693150412911	0	0	"Yes"	"Yes"	"No"
"CaT2T10g00268"	1513.28199078068	3.98922683263667	0.0893678999897185	44.6382519125504	0	0	"Yes"	"Yes"	"No"
"CaT2T03g00092"	2106.13404785252	3.41114184351743	0.072745322787456	46.8915624099154	0	0	"Yes"	"Yes"	"No"
"CaT2T02g00851"	1862.68380034352	3.18872924611326	0.0714821520872559	44.6087471208322	0	0	"Yes"	"Yes"	"No"
"CaT2T09g00248"	943.673250699523	-4.74609077517714	0.118858961492867	-39.9304412184517	0	0	"Yes"	"No"	"Yes"
"CaT2T06g01584"	30946.8997412977	6.50649861721182	0.0488802306287507	133.11104578514	0	0	"Yes"	"Yes"	"No"
"CaT2T05g03411"	2860.98597902224	3.26713756385223	0.0647222053055699	50.4793918629202	0	0	"Yes"	"Yes"	"No"
"CaT2T04g01986"	4134.74667865683	-2.64631090341237	0.0520498096613774	-50.8418939594321	0	0	"Yes"	"No"	"Yes"
"CaT2T08g01816"	4703.97824805866	5.13139262494462	0.0708933472659866	72.3818640653546	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03562"	6222.93113874687	5.8473578037898	0.0753837510696076	77.5678806217867	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03563"	3370.46026610067	4.38732631056162	0.0699075431070643	62.7589830162158	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03561"	6002.03632611186	7.89902020952889	0.135553370236826	58.2723999833312	0	0	"Yes"	"Yes"	"No"
"CaT2T08g01386"	24831.7560302163	-1.61975763067958	0.0362837929253041	-44.6413536207226	0	0	"Yes"	"No"	"Yes"
"CaT2T08g01387"	2304.66791808539	-3.28751406822802	0.0651877024430043	-50.431506941089	0	0	"Yes"	"No"	"Yes"
"CaT2T10g03399"	7224.56485037474	-4.81961107659205	0.0519682317898225	-92.7414866852547	0	0	"Yes"	"No"	"Yes"
"CaT2T12g01945"	4262.55932982559	2.22495269007744	0.0475118871727086	46.829389916456	0	0	"Yes"	"Yes"	"No"
"CaT2T05g00645"	8963.74266112529	7.85469659814143	0.110575069701178	71.0349685455161	0	0	"Yes"	"Yes"	"No"
"CaT2T08g01992"	9587.5978423213	2.37309327914541	0.0424462284601965	55.9082247170853	0	0	"Yes"	"Yes"	"No"
"CaT2T01g01007"	6747.72450482409	-1.60065207146856	0.0408537459196925	-39.1800564534527	0	0	"Yes"	"No"	"Yes"
"CaT2T01g01001"	2981.50290071163	3.295329888418	0.0628608770697825	52.4225884529072	0	0	"Yes"	"Yes"	"No"
"CaT2T09g00692"	2111.91209566416	3.06528785263345	0.0671851071246607	45.6245138814151	0	0	"Yes"	"Yes"	"No"
"CaT2T03g03270"	3225.20265655849	3.81758019124458	0.0688288955980164	55.4647892876346	0	0	"Yes"	"Yes"	"No"
"CaT2T05g00213"	5145.56367086607	-5.34218186234235	0.0642135794636313	-83.1939584580861	0	0	"Yes"	"No"	"Yes"
"CaT2T01g03753"	1889.19270992696	3.84172119624627	0.0842602957334036	45.5934929115526	0	0	"Yes"	"Yes"	"No"
"CaT2T10g00081"	10228.0970567535	-2.86674256240399	0.040431679799284	-70.9033751908266	0	0	"Yes"	"No"	"Yes"
"CaT2T02g00522"	1671.21276266511	-4.50280923314434	0.0892557418992994	-50.448398470818	0	0	"Yes"	"No"	"Yes"
"CaT2T07g03028"	3339.81508995777	-3.67320403597814	0.0576089165292322	-63.76103313997	0	0	"Yes"	"No"	"Yes"
"CaT2T01g04109"	3815.94041252698	4.32747153253867	0.067599439107488	64.0163822314809	0	0	"Yes"	"Yes"	"No"
"CaT2T08g03229"	1999.25969480976	4.5401835608143	0.0904669793212014	50.1860855185013	0	0	"Yes"	"Yes"	"No"
"CaT2T02g02413"	6740.32769342279	-2.58112585756491	0.0433524180227994	-59.5382212869296	0	0	"Yes"	"No"	"Yes"
"CaT2T06g00925"	1277.67360474008	4.74109478758533	0.115206996402737	41.1528373764	0	0	"Yes"	"Yes"	"No"
"CaT2T12g00265"	4169.54069099927	3.87981996972095	0.057779992528004	67.1481563075754	0	0	"Yes"	"Yes"	"No"
"CaT2T03g01338"	8701.90893223543	5.8457106993648	0.0660788107823694	88.4657370517404	0	0	"Yes"	"Yes"	"No"
"CaT2T03g01337"	5020.7002254489	5.76203146214065	0.0791994672352118	72.7534119014738	0	0	"Yes"	"Yes"	"No"
"CaT2T08g02355"	2591.18505134279	-4.96666031727347	0.0796905593351962	-62.3243249728314	0	0	"Yes"	"No"	"Yes"
"CaT2T08g02433"	3722.26630698505	3.31443741912721	0.0577480240375453	57.394819552134	0	0	"Yes"	"Yes"	"No"
"CaT2T12g00877"	6695.55145756599	-2.88864075071427	0.0492889234818362	-58.6062860914132	0	0	"Yes"	"No"	"Yes"
"CaT2T12g02348"	4631.39723159145	4.27200036759544	0.0626758780249518	68.1601997804439	0	0	"Yes"	"Yes"	"No"
"CaT2T04g00839"	8366.21726380966	-1.70359836831425	0.0389072870394995	-43.7861001869577	0	0	"Yes"	"No"	"Yes"
"CaT2T06g01129"	3619.44945494749	-1.86169669817399	0.0463329861505994	-40.1808053580398	0	0	"Yes"	"No"	"Yes"
"CaT2T04g00589"	1640.66058498455	4.27248394354359	0.0924889992103807	46.1945094013306	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03979"	2588.8259395051	3.00543287900792	0.0620743617452841	48.416653744108	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03974"	1590.51781006483	3.68912744367484	0.0824054083011222	44.7680257853246	0	0	"Yes"	"Yes"	"No"
"CaT2T10g02092"	2547.16816958768	3.84637117950209	0.0693911418678941	55.4302908982931	0	0	"Yes"	"Yes"	"No"
"CaT2T06g03775"	3046.37744390167	-3.06613651756411	0.0552247696986353	-55.5210376484355	0	0	"Yes"	"No"	"Yes"
"CaT2T03g00335"	3196.53950238888	3.63433934698056	0.0640002504435018	56.7863300814563	0	0	"Yes"	"Yes"	"No"
"CaT2T02g00578"	5979.33607674054	-1.77169988598684	0.043031565310291	-41.1720994393652	0	0	"Yes"	"No"	"Yes"
"CaT2T06g00459"	2172.6325749461	3.22251047440165	0.0738232595628994	43.6516958676959	0	0	"Yes"	"Yes"	"No"
"CaT2T12g02131"	6723.45848189828	4.25885948389675	0.0545391424918751	78.0881269728657	0	0	"Yes"	"Yes"	"No"
"CaT2T06g03239"	2440.60416955777	4.10608672638084	0.076359395985298	53.7731692792779	0	0	"Yes"	"Yes"	"No"
"CaT2T05g00354"	7637.47424462204	5.54781393699234	0.0640841787221636	86.5707269347219	0	0	"Yes"	"Yes"	"No"
"CaT2T01g04763"	4256.77441042011	2.29247492903193	0.0496017448036177	46.2176267812403	0	0	"Yes"	"Yes"	"No"
"CaT2T06g00153"	3746.7480276348	-2.75364047639242	0.0525377314918779	-52.4126260917474	0	0	"Yes"	"No"	"Yes"
"CaT2T01g03744"	1886.02918781968	6.16926282902544	0.137998835258688	44.705180427507	0	0	"Yes"	"Yes"	"No"
"CaT2T01g03747"	1516.86926639298	3.45577302508125	0.0830119646007391	41.6298185653406	0	0	"Yes"	"Yes"	"No"
"CaT2T04g01934"	2243.54415048502	2.75058791290408	0.065012990204843	42.3082818408679	0	0	"Yes"	"Yes"	"No"
"CaT2T03g04320"	3178.31236621681	3.82316070698575	0.0656463895072318	58.238704911023	0	0	"Yes"	"Yes"	"No"
"CaT2T03g00807"	3850.99833197784	-5.43452879526319	0.0758249745969231	-71.6720160363063	0	0	"Yes"	"No"	"Yes"
"CaT2T01g00541"	2960.98306996696	2.37898372387276	0.0536294828901002	44.3596245137749	0	0	"Yes"	"Yes"	"No"
"CaT2T09g01581"	19546.7093207584	-2.77120827975435	0.0367106513466742	-75.4878537453518	0	0	"Yes"	"No"	"Yes"
"CaT2T11g00942"	2424.51330111757	-3.35219513657395	0.064817660608964	-51.717311379028	0	0	"Yes"	"No"	"Yes"
"CaT2T01g03378"	2882.72083266367	2.56772597121034	0.0617098653286723	41.6096511884186	0	0	"Yes"	"Yes"	"No"
