""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T04g02619"	97.4858068289974	3.52461559191911	0.424467513094419	8.30361684507782	1.0098896147533e-16	1.25638802353745e-14	"Yes"	"Yes"	"No"
"CaT2T08g03229"	449.140532006392	3.58276316693645	0.431882604573573	8.29568759888802	1.0795890653444e-16	1.33370772226392e-14	"Yes"	"Yes"	"No"
"CaT2T01g00734"	918.208264802394	2.89910971616924	0.349940586476125	8.2845769487988	1.18529658407747e-16	1.45412843432726e-14	"Yes"	"Yes"	"No"
"CaT2T08g01816"	1037.50143429709	1.62081244849236	0.195691711285892	8.2824787919835	1.2063744778036e-16	1.46978010516402e-14	"Yes"	"Yes"	"No"
"CaT2T04g01191"	98.1900150935577	5.249820544285	0.634116034904539	8.27895882663702	1.24256886887267e-16	1.50350833133593e-14	"Yes"	"Yes"	"No"
"CaT2T03g00421"	223.646017471853	2.19457480381596	0.265432869454695	8.2679089757214	1.36328912489407e-16	1.63835820954957e-14	"Yes"	"Yes"	"No"
"CaT2T04g02587"	626.313108473628	3.65287532528898	0.442071604974008	8.26308517486382	1.41954872126368e-16	1.69444241282731e-14	"Yes"	"Yes"	"No"
"CaT2T10g00067"	450.682866282331	1.61507210732662	0.195641399166774	8.25526761822968	1.51562245577376e-16	1.796978946557e-14	"Yes"	"Yes"	"No"
"CaT2T01g05587"	723.779832281287	1.85857614017907	0.225709113348452	8.2343867848605	1.80479700233923e-16	2.12556958955499e-14	"Yes"	"Yes"	"No"
"CaT2T06g03569"	463.280340451102	-2.66382043166618	0.323752376382214	-8.22795638269336	1.90434395331457e-16	2.22795630988445e-14	"Yes"	"No"	"Yes"
"CaT2T04g01197"	561.072019732929	3.74190201026728	0.454915070631489	8.2254958163355	1.94385053757123e-16	2.25921471031141e-14	"Yes"	"Yes"	"No"
"CaT2T03g00080"	879.4213283214	3.19796086486498	0.389405843078039	8.21241109169512	2.16790572589441e-16	2.49820048547295e-14	"Yes"	"Yes"	"No"
"CaT2T03g00841"	672.585324902987	3.34890775802428	0.407821526256659	8.21169934006052	2.18079789198484e-16	2.49820048547295e-14	"Yes"	"Yes"	"No"
"CaT2T03g00469"	354.979158084983	1.65463089956446	0.201511730508996	8.21108972358605	2.19190012027798e-16	2.49820048547295e-14	"Yes"	"Yes"	"No"
"CaT2T02g03031"	110.974182485937	-2.5528659636719	0.311163179769508	-8.20426750222475	2.32001019576275e-16	2.62726282809902e-14	"Yes"	"No"	"Yes"
"CaT2T10g00185"	464.850459340937	1.83553859821107	0.224233957581555	8.18581903476183	2.70457886325136e-16	3.0432541527515e-14	"Yes"	"Yes"	"No"
"CaT2T08g01690"	680.020613452537	1.7218020497089	0.21049365249713	8.17982884178599	2.8424733182152e-16	3.1601738236868e-14	"Yes"	"Yes"	"No"
"CaT2T04g01315"	879.939812681393	2.99070197064732	0.365622529722004	8.17975296249184	2.8442637720265e-16	3.1601738236868e-14	"Yes"	"Yes"	"No"
"CaT2T04g01313"	1129.04801348905	3.1878041911643	0.389814934658142	8.1777374536969	2.89223092031537e-16	3.19338446489321e-14	"Yes"	"Yes"	"No"
"CaT2T02g03235"	939.050539256205	2.80445137084764	0.343201895689792	8.17143321778876	3.04747183575932e-16	3.34389052487727e-14	"Yes"	"Yes"	"No"
"CaT2T03g04487"	61.5861314489713	4.80278346533963	0.590266824488686	8.13663120826756	4.06428344268481e-16	4.43207600607839e-14	"Yes"	"Yes"	"No"
"CaT2T02g01027"	490.477951819813	3.41800906506988	0.420538487014693	8.12769620524758	4.37526076535764e-16	4.74192372274896e-14	"Yes"	"Yes"	"No"
"CaT2T06g03239"	1788.41751583048	2.52048772005053	0.310604574346699	8.11477978182366	4.86666544246026e-16	5.24234827478677e-14	"Yes"	"Yes"	"No"
"CaT2T06g03753"	2647.44874231038	2.6753179909549	0.330088783179149	8.10484368838103	5.28133721289513e-16	5.65455170927305e-14	"Yes"	"Yes"	"No"
"CaT2T05g01777"	307.266176195148	3.02898633746535	0.374118535693967	8.09632789737821	5.66430178853199e-16	6.02804550579555e-14	"Yes"	"Yes"	"No"
"CaT2T02g00258"	455.308932887623	3.58850481141437	0.443468755483885	8.09189997500234	5.87411404572652e-16	6.21389812765297e-14	"Yes"	"Yes"	"No"
"CaT2T05g00056"	468.482749347094	2.85092089768435	0.353193088224984	8.07184792888221	6.92420842517274e-16	7.28113488327985e-14	"Yes"	"Yes"	"No"
"CaT2T09g02923"	3719.46092768589	3.45123857567383	0.427900141290868	8.06552333743639	7.29228039493982e-16	7.62280624005958e-14	"Yes"	"Yes"	"No"
"CaT2T04g01455"	802.249677484671	2.59784337912213	0.32227182730062	8.06103158591902	7.56532767229326e-16	7.86171050933722e-14	"Yes"	"Yes"	"No"
"CaT2T07g01653"	294.437301074285	2.26988666750491	0.28224983246167	8.0421187417823	8.82982656752722e-16	9.1220886632711e-14	"Yes"	"Yes"	"No"
"CaT2T04g01314"	1293.9305945004	3.20793213253937	0.39976959529657	8.02445251035051	1.01979730779363e-15	1.0474266999699e-13	"Yes"	"Yes"	"No"
