""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T11g00411"	5224.90259244171	1.12487646268499	0.128577225804994	8.74864468137636	2.15930394267283e-18	8.71797373814729e-16	"Yes"	"Yes"	"No"
"CaT2T09g02153"	1864.00064960878	1.35779237079327	0.15570543561489	8.7202631393777	2.77555988749345e-18	1.09863191076138e-15	"Yes"	"Yes"	"No"
"CaT2T03g00166"	1057.35897356136	0.919603722815611	0.106168328604009	8.6617519076295	4.64568560555278e-18	1.80350875614027e-15	"Yes"	"No"	"No"
"CaT2T08g01320"	8967.72395480825	-0.879727801987975	0.101598955461795	-8.65882722897465	4.76642610440764e-18	1.81546875037127e-15	"Yes"	"No"	"No"
"CaT2T07g00069"	484.292320266483	1.88453362111234	0.217792485807484	8.65288632032124	5.02130356249192e-18	1.8771306484449e-15	"Yes"	"Yes"	"No"
"CaT2T01g01528"	2405.76885375613	1.14183019694725	0.132271291450256	8.63248694730301	6.00321961611312e-18	2.20339989800865e-15	"Yes"	"Yes"	"No"
"CaT2T08g00621"	4264.09647496317	-0.913364014522042	0.105924861385989	-8.62275392736891	6.53628131846136e-18	2.35621269599606e-15	"Yes"	"No"	"No"
"CaT2T07g01490"	5770.51189966677	0.858002078021918	0.0996980343268285	8.60600797011934	7.56490078627816e-18	2.67916933636135e-15	"Yes"	"No"	"No"
"CaT2T04g01066"	1936.08697367711	0.909254159115731	0.106105460424537	8.56934370274375	1.04076473005978e-17	3.62239958719254e-15	"Yes"	"No"	"No"
"CaT2T07g00609"	916.389126547156	1.10399840196178	0.128875069992714	8.56642329679583	1.06748947082293e-17	3.65244236398346e-15	"Yes"	"Yes"	"No"
"CaT2T07g03025"	423.913746753565	1.1904462464509	0.139170000769261	8.55389983380553	1.18998180003921e-17	4.00369376623192e-15	"Yes"	"Yes"	"No"
"CaT2T08g00436"	700.896056072152	1.11184788880263	0.13004815314676	8.54950925406767	1.2361295930885e-17	4.09077837634059e-15	"Yes"	"Yes"	"No"
"CaT2T06g03412"	396.60845037089	2.02787454241697	0.237469842297336	8.53950347041486	1.3479981290197e-17	4.38903842427754e-15	"Yes"	"Yes"	"No"
"CaT2T02g03101"	1336.05160915032	1.00319461760254	0.117902069619732	8.50871083805509	1.75877850131724e-17	5.63562882636366e-15	"Yes"	"Yes"	"No"
"CaT2T07g03061"	488.570838025926	1.70056824346214	0.200535096266133	8.4801527270084	2.24898527896196e-17	7.09379153537578e-15	"Yes"	"Yes"	"No"
"CaT2T02g03575"	124.228394184118	2.15283636654801	0.254094511219485	8.47258115185499	2.40014353431044e-17	7.45410731186536e-15	"Yes"	"Yes"	"No"
"CaT2T08g02400"	1619.9082930779	1.61707899639544	0.191632117648142	8.43845497425739	3.21559784217782e-17	9.83534449091572e-15	"Yes"	"Yes"	"No"
"CaT2T08g02686"	242.522376367699	1.90633586016685	0.226096144525147	8.4315274998191	3.4118209301724e-17	1.0279765539909e-14	"Yes"	"Yes"	"No"
"CaT2T11g01841"	9296.70654899676	0.965417698919064	0.114730203561378	8.41467781762098	3.93976225195309e-17	1.16958794970848e-14	"Yes"	"No"	"No"
"CaT2T04g01315"	660.52679762375	1.29409456987418	0.154910116785675	8.35384154841621	6.60779737405141e-17	1.93321167521704e-14	"Yes"	"Yes"	"No"
"CaT2T03g00918"	2721.43245553366	0.94045708282744	0.112910215229269	8.32924710060824	8.13580954768484e-17	2.34625124770163e-14	"Yes"	"No"	"No"
