""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T09g02596"	14.5262701363818	0.417292995544936	0.565559882181899	0.737840516436636	0.460611369175026	0.589295970457843	"No"	"No"	"No"
"CaT2T03g00353"	98.1195814103988	0.199128769030636	0.269823736502989	0.737995743485784	0.460517035715948	0.589295970457843	"No"	"No"	"No"
"CaT2T03g00027"	16.8344040218677	-0.381767630088481	0.517356791951369	-0.73791943205873	0.460563409793908	0.589295970457843	"No"	"No"	"No"
"CaT2T10g00859"	18.9384518686834	-0.345959434180917	0.468856451375999	-0.737879223300854	0.46058784550833	0.589295970457843	"No"	"No"	"No"
"CaT2T12g02091"	92.3494571798089	0.192984986483565	0.261629882363649	0.73762593454569	0.460741791120907	0.589403682018908	"No"	"No"	"No"
"CaT2T12g00401"	187.88164805068	-0.168512258802777	0.228607558981743	-0.737124614572498	0.461046571686645	0.589734397755899	"No"	"No"	"No"
"CaT2T12g03685"	49.712179934184	-0.305402620529213	0.414441742810205	-0.736901207051129	0.46118242995323	0.589789828415461	"No"	"No"	"No"
"CaT2T10g01879"	58.1556456351373	0.227401707300218	0.308562946317636	0.736970235778504	0.461140449912893	0.589789828415461	"No"	"No"	"No"
"CaT2T03g02801"	146.991247162479	-0.181181542052735	0.246081900484566	-0.736265209655672	0.46156931425882	0.590107018400089	"No"	"No"	"No"
"CaT2T03g02611"	108.407000178321	-0.223112156809288	0.302981601629543	-0.736388465864961	0.461494321974512	0.590107018400089	"No"	"No"	"No"
"CaT2T10g00794"	75.3796791357399	0.226151311861854	0.307155512779891	0.736276258938302	0.4615625913101	0.590107018400089	"No"	"No"	"No"
"CaT2T12g00096"	52.4723207780286	-0.232520373658101	0.315941394219988	-0.735960459477489	0.461754761410716	0.590273784367703	"No"	"No"	"No"
"CaT2T03g03191"	37.4208463450608	0.26304912771031	0.357452909139076	0.735898690386554	0.461792354324533	0.590273784367703	"No"	"No"	"No"
"CaT2T07g01608"	168.631504246292	0.196938268677388	0.267836267754817	0.735293507217141	0.462160761581073	0.590626257958811	"No"	"No"	"No"
"CaT2T04g00172"	155.431296000582	-0.186646298732292	0.253826357261635	-0.735330643932707	0.462138149759653	0.590626257958811	"No"	"No"	"No"
"CaT2T05g00776"	29.8502197067407	0.303335331850166	0.413051561509446	0.734376431701807	0.462719346823524	0.59120564143764	"No"	"No"	"No"
"CaT2T09g02180"	22.1773303470892	-0.352402598753805	0.479902786525044	-0.734320801313819	0.462753243070532	0.59120564143764	"No"	"No"	"No"
"CaT2T07g02765"	13.1117990641578	-0.431793245446637	0.587966753888925	-0.73438377695792	0.462714871376428	0.59120564143764	"No"	"No"	"No"
"CaT2T03g02873"	62.2904512074683	-0.221693004435432	0.302028018655774	-0.734014696458009	0.462939781115566	0.591288414187584	"No"	"No"	"No"
"CaT2T08g02164"	60.5509898313568	0.217525187604613	0.296361426883767	0.733986166458587	0.46295716922272	0.591288414187584	"No"	"No"	"No"
"CaT2T02g01845"	48.1738325334638	0.236295635001182	0.321894917748166	0.734076936207012	0.462901849275595	0.591288414187584	"No"	"No"	"No"
"CaT2T01g02116"	173.35089554323	-0.264793090317747	0.360961875979296	-0.733576335726201	0.463206987911162	0.591429733488172	"No"	"No"	"No"
"CaT2T04g00816"	61.3503662849154	0.230795436976933	0.314566076061167	0.733694617890249	0.463134879468683	0.591429733488172	"No"	"No"	"No"
"CaT2T02g00424"	39.7453531471557	-0.259542198904596	0.35380191030414	-0.733580547039684	0.463204420457608	0.591429733488172	"No"	"No"	"No"
"CaT2T02g01818"	107.201713422429	-0.204634147534194	0.278985210536587	-0.73349460761956	0.463256815532139	0.591434121892573	"No"	"No"	"No"
