Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR24630933_1	(1.0, 22.825410620769198)	(2.0, 9.825968956035346)	(3.0, 5.922742600498553)	(4.0, 4.114234966739915)	(5.0, 3.230975027169611)	(6.0, 2.544358866057492)	(7.0, 2.125048500024)	(8.0, 1.835499927975944)	(9.0, 1.5763855554896553)	('>10', 19.15309539423281)	('>50', 5.9353514663164075)	('>100', 10.606305787550514)	('>500', 3.721440772113147)	('>1k', 5.406315618300201)	('>5k', 0.5460211619420365)	('>10k+', 0.6308447787851876)
SRR24630933_2	(1.0, 30.143958641495388)	(2.0, 10.724545161009337)	(3.0, 6.271237414894227)	(4.0, 4.3507283615713845)	(5.0, 3.1101089650581124)	(6.0, 2.4440645542422033)	(7.0, 2.0425078830872647)	(8.0, 1.6543144175434097)	(9.0, 1.4789592013790962)	('>10', 16.12425147950268)	('>50', 4.824960607450383)	('>100', 9.013440033722286)	('>500', 2.934316446300114)	('>1k', 4.319492149277805)	('>5k', 0.4498691329274841)	('>10k+', 0.11324555053886914)
SRR24630947_1	(1.0, 44.12809311444435)	(2.0, 12.575705961042068)	(3.0, 6.454395571193553)	(4.0, 3.991023143800332)	(5.0, 2.892742592638373)	(6.0, 2.2026351839803064)	(7.0, 1.7689085008438643)	(8.0, 1.4285190910650725)	(9.0, 1.25684409168658)	('>10', 12.437400162865158)	('>50', 3.164699586769965)	('>100', 5.645475809489181)	('>500', 1.1574848634808033)	('>1k', 0.8960723267004225)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630947_2	(1.0, 47.919195726537936)	(2.0, 13.132570680929334)	(3.0, 6.287256807508664)	(4.0, 3.7971386863559125)	(5.0, 2.6196776220053763)	(6.0, 2.000470478347207)	(7.0, 1.4992679183310587)	(8.0, 1.1562329614780396)	(9.0, 1.0530066546373014)	('>10', 10.726660132066609)	('>50', 2.859070380833094)	('>100', 4.3842882155336245)	('>500', 1.7615224543381633)	('>1k', 0.8036412810976418)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630948_1	(1.0, 42.72844427273469)	(2.0, 12.625230823989133)	(3.0, 6.442856743808085)	(4.0, 4.13034022735452)	(5.0, 3.0047558330054756)	(6.0, 2.2230882956215767)	(7.0, 1.7808179618986615)	(8.0, 1.4724733117042654)	(9.0, 1.2191774433951978)	('>10', 12.483389814442168)	('>50', 3.157899988146555)	('>100', 5.907037976385551)	('>500', 1.6981242991585341)	('>1k', 1.1263630083555283)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630948_2	(1.0, 45.94317506095281)	(2.0, 13.159314198414062)	(3.0, 6.513519376671894)	(4.0, 4.000373477503233)	(5.0, 2.734800749853595)	(6.0, 1.902770451447142)	(7.0, 1.5837856360815996)	(8.0, 1.3302152310819582)	(9.0, 1.1276048235789662)	('>10', 10.901090191976422)	('>50', 2.997656499443945)	('>100', 4.615990995837058)	('>500', 1.8014428544381806)	('>1k', 1.3882604527191738)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630949_1	(1.0, 43.97307697289831)	(2.0, 12.615836946620075)	(3.0, 6.50716939783515)	(4.0, 4.062045436307448)	(5.0, 2.8258837765733165)	(6.0, 2.130539031281752)	(7.0, 1.8055096607523964)	(8.0, 1.3870636387433986)	(9.0, 1.1584314462535459)	('>10', 12.13742076018578)	('>50', 3.162544951771055)	('>100', 5.595476708714151)	('>500', 1.6226102508103635)	('>1k', 1.016391021253307)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630949_2	(1.0, 47.02715344034831)	(2.0, 13.345543698623347)	(3.0, 6.293064447402936)	(4.0, 3.8129350995857214)	(5.0, 2.6649975402466697)	(6.0, 1.9525228156511087)	(7.0, 1.5302115951817479)	(8.0, 1.2013425504500759)	(9.0, 1.11309904426146)	('>10', 10.765997428495016)	('>50', 2.871674988462946)	('>100', 4.527972609415257)	('>500', 1.8031248235344628)	('>1k', 1.0903599183410138)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630967_1	(1.0, 40.89635825328738)	(2.0, 11.880653991672508)	(3.0, 6.55629167690856)	(4.0, 4.506978051657891)	(5.0, 3.3296118981166396)	(6.0, 2.6237720837002465)	(7.0, 2.1309927955582917)	(8.0, 1.7722221741285804)	(9.0, 1.5278583446259715)	('>10', 16.48710186451288)	('>50', 3.7810331258417498)	('>100', 3.974228579978386)	('>500', 0.3906868729059916)	('>1k', 0.1422102871049896)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630967_2	(1.0, 49.72979561246497)	(2.0, 12.197679241598298)	(3.0, 6.415038322714435)	(4.0, 4.30614764738179)	(5.0, 3.0406454619429555)	(6.0, 2.3358463150073026)	(7.0, 1.8073133538911224)	(8.0, 1.561100325299539)	(9.0, 1.2629257066031427)	('>10', 12.90148967623233)	('>50', 2.383016220065971)	('>100', 1.7802545550351565)	('>500', 0.1946096257591647)	('>1k', 0.08413793600377473)	('>5k', 0.0)	('>10k+', 0.0)
