Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR24630948_1	(2.0, 997.0)	(3.0, 300.0)	(4.0, 111.0)	(5.0, 126.0)	(6.0, 240.0)	(7.0, 428.0)	(8.0, 784.0)	(9.0, 1154.0)	(10.0, 1247.0)	(11.0, 1418.0)	(12.0, 1454.0)	(13.0, 1357.0)	(14.0, 1297.0)	(15.0, 1303.0)	(16.0, 1308.0)	(17.0, 1389.0)	(18.0, 1537.0)	(19.0, 1749.0)	(20.0, 2046.0)	(21.0, 2346.0)	(22.0, 2926.0)	(23.0, 4108.0)	(24.0, 5219.0)	(25.0, 6963.0)	(26.0, 9455.0)	(27.0, 12917.0)	(28.0, 17404.0)	(29.0, 23386.0)	(30.0, 30680.0)	(31.0, 39294.0)	(32.0, 48840.0)	(33.0, 61326.0)	(34.0, 76967.0)	(35.0, 101368.0)	(36.0, 146903.0)	(37.0, 256103.0)	(38.0, 764250.0)	(39.0, 2085930.0)	
SRR24630948_2	(2.0, 1962.0)	(3.0, 170.0)	(4.0, 169.0)	(5.0, 122.0)	(6.0, 132.0)	(7.0, 156.0)	(8.0, 170.0)	(9.0, 225.0)	(10.0, 287.0)	(11.0, 385.0)	(12.0, 563.0)	(13.0, 685.0)	(14.0, 781.0)	(15.0, 1083.0)	(16.0, 1276.0)	(17.0, 1643.0)	(18.0, 1884.0)	(19.0, 2448.0)	(20.0, 3738.0)	(21.0, 5006.0)	(22.0, 6181.0)	(23.0, 8044.0)	(24.0, 9949.0)	(25.0, 12508.0)	(26.0, 16129.0)	(27.0, 20401.0)	(28.0, 25425.0)	(29.0, 30987.0)	(30.0, 36694.0)	(31.0, 41796.0)	(32.0, 48175.0)	(33.0, 56918.0)	(34.0, 71161.0)	(35.0, 95773.0)	(36.0, 146311.0)	(37.0, 284835.0)	(38.0, 955883.0)	(39.0, 1826575.0)	
SRR24630949_1	(2.0, 868.0)	(3.0, 299.0)	(4.0, 123.0)	(5.0, 114.0)	(6.0, 212.0)	(7.0, 368.0)	(8.0, 626.0)	(9.0, 906.0)	(10.0, 1031.0)	(11.0, 1128.0)	(12.0, 1113.0)	(13.0, 1072.0)	(14.0, 1140.0)	(15.0, 1136.0)	(16.0, 1171.0)	(17.0, 1222.0)	(18.0, 1336.0)	(19.0, 1492.0)	(20.0, 1781.0)	(21.0, 2133.0)	(22.0, 2682.0)	(23.0, 3631.0)	(24.0, 4939.0)	(25.0, 6534.0)	(26.0, 8811.0)	(27.0, 11931.0)	(28.0, 16435.0)	(29.0, 21671.0)	(30.0, 28761.0)	(31.0, 36754.0)	(32.0, 46257.0)	(33.0, 57297.0)	(34.0, 72625.0)	(35.0, 95925.0)	(36.0, 138730.0)	(37.0, 239418.0)	(38.0, 714767.0)	(39.0, 1983183.0)	
SRR24630949_2	(2.0, 1957.0)	(3.0, 168.0)	(4.0, 129.0)	(5.0, 119.0)	(6.0, 142.0)	(7.0, 117.0)	(8.0, 146.0)	(9.0, 191.0)	(10.0, 243.0)	(11.0, 356.0)	(12.0, 506.0)	(13.0, 598.0)	(14.0, 765.0)	(15.0, 939.0)	(16.0, 1141.0)	(17.0, 1419.0)	(18.0, 1681.0)	(19.0, 2177.0)	(20.0, 3135.0)	(21.0, 4390.0)	(22.0, 5566.0)	(23.0, 6920.0)	(24.0, 8798.0)	(25.0, 10994.0)	(26.0, 14132.0)	(27.0, 18240.0)	(28.0, 22967.0)	(29.0, 28043.0)	(30.0, 33152.0)	(31.0, 37893.0)	(32.0, 43862.0)	(33.0, 53007.0)	(34.0, 65858.0)	(35.0, 88960.0)	(36.0, 136355.0)	(37.0, 269119.0)	(38.0, 906146.0)	(39.0, 1739291.0)	
SRR24630967_1	(2.0, 41403.0)	(3.0, 60502.0)	(4.0, 10923.0)	(5.0, 4230.0)	(6.0, 3376.0)	(7.0, 3132.0)	(8.0, 3114.0)	(9.0, 2927.0)	(10.0, 3046.0)	(11.0, 3087.0)	(12.0, 2955.0)	(13.0, 2918.0)	(14.0, 3231.0)	(15.0, 3735.0)	(16.0, 4330.0)	(17.0, 5314.0)	(18.0, 7061.0)	(19.0, 10637.0)	(20.0, 16186.0)	(21.0, 21966.0)	(22.0, 29796.0)	(23.0, 40292.0)	(24.0, 55259.0)	(25.0, 73549.0)	(26.0, 95968.0)	(27.0, 122097.0)	(28.0, 152573.0)	(29.0, 185888.0)	(30.0, 223243.0)	(31.0, 268002.0)	(32.0, 318887.0)	(33.0, 380711.0)	(34.0, 462091.0)	(35.0, 574614.0)	(36.0, 744491.0)	(37.0, 1038377.0)	(38.0, 1606369.0)	(39.0, 1039191.0)	
SRR24630967_2	(2.0, 42882.0)	(3.0, 1979.0)	(4.0, 1807.0)	(5.0, 1813.0)	(6.0, 1875.0)	(7.0, 2167.0)	(8.0, 2473.0)	(9.0, 2650.0)	(10.0, 2945.0)	(11.0, 3486.0)	(12.0, 4127.0)	(13.0, 4759.0)	(14.0, 5014.0)	(15.0, 5793.0)	(16.0, 7023.0)	(17.0, 14615.0)	(18.0, 19460.0)	(19.0, 26759.0)	(20.0, 42984.0)	(21.0, 59647.0)	(22.0, 77003.0)	(23.0, 94677.0)	(24.0, 112862.0)	(25.0, 132326.0)	(26.0, 150793.0)	(27.0, 172105.0)	(28.0, 195210.0)	(29.0, 219057.0)	(30.0, 243682.0)	(31.0, 268867.0)	(32.0, 312834.0)	(33.0, 371402.0)	(34.0, 457418.0)	(35.0, 586757.0)	(36.0, 798360.0)	(37.0, 1178863.0)	(38.0, 1621367.0)	(39.0, 377630.0)	
SRR24630968_1	(2.0, 44535.0)	(3.0, 57826.0)	(4.0, 10109.0)	(5.0, 4501.0)	(6.0, 3605.0)	(7.0, 3323.0)	(8.0, 3292.0)	(9.0, 3075.0)	(10.0, 3214.0)	(11.0, 3219.0)	(12.0, 3238.0)	(13.0, 3368.0)	(14.0, 3416.0)	(15.0, 4048.0)	(16.0, 4773.0)	(17.0, 5742.0)	(18.0, 7594.0)	(19.0, 11789.0)	(20.0, 17277.0)	(21.0, 24348.0)	(22.0, 32925.0)	(23.0, 44985.0)	(24.0, 60775.0)	(25.0, 81221.0)	(26.0, 106096.0)	(27.0, 135023.0)	(28.0, 167662.0)	(29.0, 204207.0)	(30.0, 244206.0)	(31.0, 291321.0)	(32.0, 345098.0)	(33.0, 411653.0)	(34.0, 494843.0)	(35.0, 612147.0)	(36.0, 788269.0)	(37.0, 1089738.0)	(38.0, 1659829.0)	(39.0, 1025459.0)	
SRR24630968_2	(2.0, 122853.0)	(3.0, 4798.0)	(4.0, 4534.0)	(5.0, 4169.0)	(6.0, 3993.0)	(7.0, 4195.0)	(8.0, 4501.0)	(9.0, 4525.0)	(10.0, 4939.0)	(11.0, 5489.0)	(12.0, 6279.0)	(13.0, 7024.0)	(14.0, 7600.0)	(15.0, 8273.0)	(16.0, 10225.0)	(17.0, 20354.0)	(18.0, 26262.0)	(19.0, 36794.0)	(20.0, 56688.0)	(21.0, 75477.0)	(22.0, 93654.0)	(23.0, 111656.0)	(24.0, 130314.0)	(25.0, 150113.0)	(26.0, 170956.0)	(27.0, 191780.0)	(28.0, 214988.0)	(29.0, 241250.0)	(30.0, 265367.0)	(31.0, 293874.0)	(32.0, 338908.0)	(33.0, 402013.0)	(34.0, 493925.0)	(35.0, 631316.0)	(36.0, 855994.0)	(37.0, 1225782.0)	(38.0, 1506345.0)	(39.0, 280542.0)	
SRR24630969_1	(2.0, 36219.0)	(3.0, 47039.0)	(4.0, 8227.0)	(5.0, 3718.0)	(6.0, 2964.0)	(7.0, 2723.0)	(8.0, 2627.0)	(9.0, 2507.0)	(10.0, 2504.0)	(11.0, 2523.0)	(12.0, 2586.0)	(13.0, 2521.0)	(14.0, 2866.0)	(15.0, 3312.0)	(16.0, 3933.0)	(17.0, 4536.0)	(18.0, 6215.0)	(19.0, 9563.0)	(20.0, 14141.0)	(21.0, 19559.0)	(22.0, 26693.0)	(23.0, 36533.0)	(24.0, 48946.0)	(25.0, 65387.0)	(26.0, 84985.0)	(27.0, 108596.0)	(28.0, 135102.0)	(29.0, 165284.0)	(30.0, 199141.0)	(31.0, 236926.0)	(32.0, 282020.0)	(33.0, 338723.0)	(34.0, 408687.0)	(35.0, 507498.0)	(36.0, 658233.0)	(37.0, 918646.0)	(38.0, 1425687.0)	(39.0, 919408.0)	
SRR24630969_2	(2.0, 40010.0)	(3.0, 1970.0)	(4.0, 1802.0)	(5.0, 1714.0)	(6.0, 1816.0)	(7.0, 2051.0)	(8.0, 2321.0)	(9.0, 2530.0)	(10.0, 2809.0)	(11.0, 3125.0)	(12.0, 3983.0)	(13.0, 4351.0)	(14.0, 4599.0)	(15.0, 5181.0)	(16.0, 6699.0)	(17.0, 12903.0)	(18.0, 17170.0)	(19.0, 24293.0)	(20.0, 38823.0)	(21.0, 53913.0)	(22.0, 69129.0)	(23.0, 84712.0)	(24.0, 101723.0)	(25.0, 117363.0)	(26.0, 134635.0)	(27.0, 152003.0)	(28.0, 171907.0)	(29.0, 192495.0)	(30.0, 212450.0)	(31.0, 235027.0)	(32.0, 271139.0)	(33.0, 323625.0)	(34.0, 396112.0)	(35.0, 509906.0)	(36.0, 694375.0)	(37.0, 1030651.0)	(38.0, 1457123.0)	(39.0, 360340.0)	
