GeneID	log2FoldChange	color	KO_number
CaT2T07g03233	1.048	#e29182	K05666
CaT2T07g01490	1.213	#e29182	K00327
CaT2T08g01820	1.356	#e29182	K06269
CaT2T03g00944	5.284	#ad3c28	K04710
CaT2T01g00446	1.034	#e29182	K14295
CaT2T07g01654	1.635	#e29182	K14709
CaT2T04g00487	2.936	#db7765	K01176
CaT2T11g03404	1.803	#e29182	K18693
CaT2T03g01078	2.302	#db7765	K10418
CaT2T08g02918	2.829	#db7765	K04630
CaT2T05g00651	5.528	#ad3c28	K00430
CaT2T03g00960	1.819	#e29182	K01689
CaT2T02g03076	1.236	#e29182	K12637
CaT2T02g02853	1.740	#e29182	K00021
CaT2T12g02006	1.586	#e29182	K20725
CaT2T02g03589	1.615	#e29182	K09419
CaT2T10g00896	2.163	#db7765	K03327
CaT2T04g01806	2.671	#db7765	K20623
CaT2T09g02170	2.885	#db7765	K00799
CaT2T03g01959	1.497	#e29182	K07977
CaT2T04g00491	1.260	#e29182	K18588
CaT2T06g03493	1.991	#e29182	K00799
CaT2T05g00449	2.153	#db7765	K01054
CaT2T02g00337	2.706	#db7765	K18819
CaT2T08g03187	1.743	#e29182	K19042
CaT2T10g00666	1.432	#e29182	K09597
CaT2T08g01690	1.722	#e29182	K13354
CaT2T06g02649	1.326	#e29182	K20279
CaT2T12g02394	6.775	#903221	K00512, K07418, K15472
CaT2T12g00590	1.776	#e29182	K01240
CaT2T12g03687	1.115	#e29182	K07562
CaT2T05g01825	1.445	#e29182	K01087
CaT2T06g00687	2.081	#db7765	K05359
CaT2T10g00012	1.227	#e29182	K00134
CaT2T04g00045	2.258	#db7765	K08176
CaT2T03g04431	2.575	#db7765	K00799
CaT2T04g01315	2.991	#db7765	K01183
CaT2T04g01314	3.208	#d45d48	K01183
CaT2T04g01313	3.188	#d45d48	K01183
CaT2T11g02351	1.210	#e29182	K00033
CaT2T01g04975	1.519	#e29182	K09756, K16296
CaT2T09g00784	1.388	#e29182	K13065
CaT2T06g00440	1.028	#e29182	K13993
CaT2T06g00446	1.319	#e29182	K07904, K07905, K07976
CaT2T06g01318	1.977	#e29182	K09264
CaT2T11g00083	1.189	#e29182	K19613
CaT2T12g02126	1.308	#e29182	K12198
CaT2T11g02399	1.122	#e29182	K17808
CaT2T06g00762	2.463	#db7765	K13448
CaT2T06g02059	1.233	#e29182	K07874
CaT2T03g04115	1.067	#e29182	K15283
CaT2T08g02952	1.728	#e29182	K03809
CaT2T10g02559	3.150	#d45d48	K01193
CaT2T06g00353	1.209	#e29182	K07198, K12761
CaT2T02g04044	1.233	#e29182	K00122
CaT2T04g00513	1.666	#e29182	K10635
CaT2T11g01510	1.538	#e29182	K11584
CaT2T08g01769	2.579	#db7765	K03006
CaT2T05g00581	1.680	#e29182	K11644
CaT2T07g03163	1.306	#e29182	K20168
CaT2T01g00284	1.753	#e29182	K04371, K04464, K20600
CaT2T10g01084	4.790	#ca462e	K01988
CaT2T07g02692	3.520	#d45d48	K10717, K20660
CaT2T07g02694	2.553	#db7765	K07428, K10717, K20660
CaT2T01g03225	1.336	#e29182	K02303
CaT2T06g02736	1.026	#e29182	K14488
CaT2T06g02732	1.494	#e29182	K14488
CaT2T03g02063	1.473	#e29182	K14488
CaT2T03g04605	1.068	#e29182	K14638
CaT2T11g02179	1.621	#e29182	K07605
CaT2T03g04601	1.751	#e29182	K14638
CaT2T10g00115	1.183	#e29182	K08770
CaT2T03g00896	1.637	#e29182	K07195
CaT2T03g00798	1.290	#e29182	K09422
CaT2T01g01227	1.976	#e29182	K15078, K19613
CaT2T06g03369	1.975	#e29182	K04733
CaT2T05g01953	1.043	#e29182	K04730
CaT2T09g01511	5.450	#ad3c28	K13424
CaT2T01g05041	2.684	#db7765	K22246
CaT2T02g02393	1.142	#e29182	K03809
CaT2T01g00047	1.334	#e29182	K13422
CaT2T01g05587	1.859	#e29182	K06268
CaT2T09g02122	4.522	#ca462e	K15227
CaT2T03g02081	2.081	#db7765	K08900
CaT2T09g00227	1.186	#e29182	K13464
CaT2T10g00969	1.310	#e29182	K04688
CaT2T06g01693	4.253	#ca462e	K04733
CaT2T05g00411	2.731	#db7765	K13508
CaT2T02g00348	4.346	#ca462e	K08900
CaT2T09g00426	2.811	#db7765	K00128, K12355
CaT2T03g00158	1.433	#e29182	K01193, K20849
CaT2T10g02813	1.636	#e29182	K04506
CaT2T01g02813	1.219	#e29182	K00873
CaT2T06g00901	1.187	#e29182	K17279
CaT2T12g01925	1.571	#e29182	K17479
CaT2T07g02968	1.277	#e29182	K00074
CaT2T07g02965	1.100	#e29182	K17506
CaT2T06g01719	1.303	#e29182	K00814
CaT2T11g03458	3.178	#d45d48	K07195
CaT2T11g03455	1.201	#e29182	K01807
CaT2T09g02298	2.339	#db7765	K01102
CaT2T04g00386	1.519	#e29182	K01106, K20278, K20279
CaT2T10g02996	1.979	#e29182	K13412
CaT2T01g00591	3.065	#d45d48	K01193
CaT2T07g00699	3.367	#d45d48	K13466
CaT2T11g00176	1.846	#e29182	K13459, K13460, K20599
CaT2T11g00177	1.002	#e29182	K01206
CaT2T09g01417	2.333	#db7765	K13456
CaT2T04g00814	1.376	#e29182	K09338
CaT2T10g00067	1.615	#e29182	K09286
CaT2T03g00077	1.193	#e29182	K00951
CaT2T02g03911	4.132	#ca462e	K02183
CaT2T03g04403	2.475	#db7765	K03116, K12761
CaT2T02g02743	1.007	#e29182	K00799
CaT2T06g02430	1.437	#e29182	K21867
CaT2T12g02613	2.273	#db7765	K15104
CaT2T03g00336	1.235	#e29182	K03301
CaT2T04g02967	1.364	#e29182	K17508
CaT2T04g02966	1.717	#e29182	K17535
CaT2T06g00473	2.110	#db7765	K10355
CaT2T06g00476	1.080	#e29182	K19044
CaT2T09g01203	2.092	#db7765	K07513
CaT2T07g03001	2.147	#db7765	K13459, K13460, K20599
CaT2T07g02719	4.511	#ca462e	K09414, K09419
CaT2T10g02460	1.609	#e29182	K06965
CaT2T09g00300	1.225	#e29182	K00279
CaT2T03g04148	1.482	#e29182	K09286
CaT2T03g01187	1.083	#e29182	K13525
CaT2T10g02915	1.854	#e29182	K08857
CaT2T08g02454	3.520	#d45d48	K02183, K13448
CaT2T03g00588	1.135	#e29182	K14684
CaT2T01g01677	1.328	#e29182	K03242
CaT2T01g04874	1.807	#e29182	K11968
CaT2T11g01622	2.593	#db7765	K09680
CaT2T11g01629	3.193	#d45d48	K01648
CaT2T12g01807	4.420	#ca462e	K00423
CaT2T02g00598	1.030	#e29182	K20858
CaT2T02g00599	1.746	#e29182	K20858
CaT2T04g02676	1.406	#e29182	K04733, K13420
CaT2T06g01182	1.823	#e29182	K18875
CaT2T11g01542	1.648	#e29182	K04459, K21278
CaT2T03g04489	3.407	#d45d48	K14516
CaT2T02g03477	2.358	#db7765	K01102
CaT2T02g01900	1.333	#e29182	K09419
CaT2T02g01906	1.893	#e29182	K04733
CaT2T07g02374	1.837	#e29182	K10666
CaT2T02g00829	6.192	#903221	K14184, K15795, K15799, K15803
CaT2T02g00820	2.018	#db7765	K21374
CaT2T06g03259	1.284	#e29182	K01953
CaT2T06g03254	1.967	#e29182	K17506
CaT2T06g02709	1.669	#e29182	K09481
CaT2T06g02708	2.321	#db7765	K08472
CaT2T06g03014	1.298	#e29182	K05857
CaT2T07g01984	1.287	#e29182	K20855
CaT2T06g02002	3.031	#d45d48	K15109
CaT2T12g02290	2.194	#db7765	K21354
CaT2T12g02291	1.443	#e29182	K21354
CaT2T12g02299	4.020	#ca462e	K16226
CaT2T11g00714	5.894	#ad3c28	K00512
