GeneID	log2FoldChange	color	KO_number
CaT2T08g01820	2.317	#db7765	K06269
CaT2T08g01829	1.893	#e29182	K01051
CaT2T08g01828	1.355	#e29182	K01051
CaT2T09g00498	1.091	#e29182	K18404
CaT2T03g00944	8.607	#561e14	K04710
CaT2T10g02843	1.389	#e29182	K02999
CaT2T10g02844	1.297	#e29182	K14709
CaT2T01g00446	1.001	#e29182	K14295
CaT2T07g01654	2.061	#db7765	K14709
CaT2T04g00487	2.144	#db7765	K01176
CaT2T12g02232	1.860	#e29182	K22074
CaT2T05g01905	5.714	#ad3c28	K20617
CaT2T03g01735	1.237	#e29182	K03549, K12236
CaT2T11g03404	2.438	#db7765	K18693
CaT2T03g01078	3.119	#d45d48	K10418
CaT2T10g00753	1.030	#e29182	K01601
CaT2T10g00754	1.793	#e29182	K02112
CaT2T08g02918	3.800	#d45d48	K04630
CaT2T05g00652	1.651	#e29182	K17795
CaT2T04g00656	1.391	#e29182	K14207
CaT2T03g04663	1.063	#e29182	K19613
CaT2T03g00960	3.659	#d45d48	K01689
CaT2T08g02323	1.062	#e29182	K14432
CaT2T09g00043	1.881	#e29182	K13783
CaT2T02g01830	2.315	#db7765	K05658
CaT2T10g01166	6.509	#903221	K20241
CaT2T02g02853	4.673	#ca462e	K00021
CaT2T02g02852	1.261	#e29182	K00384
CaT2T04g00112	2.803	#db7765	K01115
CaT2T12g02006	2.438	#db7765	K20725
CaT2T02g03589	3.802	#d45d48	K09419
CaT2T07g02294	2.103	#db7765	K00901
CaT2T04g01116	2.346	#db7765	K17506, K19704
CaT2T08g02041	1.341	#e29182	K20827
CaT2T10g00896	3.057	#d45d48	K03327
CaT2T04g01806	2.086	#db7765	K20623
CaT2T03g00026	1.046	#e29182	K05387
CaT2T03g00024	1.754	#e29182	K05387
CaT2T09g02173	1.447	#e29182	K00799
CaT2T09g02176	1.549	#e29182	K00799
CaT2T10g00090	1.673	#e29182	K22390
CaT2T03g01959	2.869	#db7765	K07977
CaT2T10g00545	1.798	#e29182	K01179
CaT2T01g02146	3.034	#d45d48	K06170, K15356
CaT2T10g02796	1.046	#e29182	K14948
CaT2T02g00535	1.437	#e29182	K03350
CaT2T12g02648	1.189	#e29182	K09571
CaT2T04g00491	1.668	#e29182	K18588
CaT2T06g03493	3.219	#d45d48	K00799
CaT2T04g00494	1.523	#e29182	K05387
CaT2T06g01399	1.242	#e29182	K14684
CaT2T04g00423	1.054	#e29182	K03100
