GeneID	log2FoldChange	color	KO_number
CaT2T07g03225	1.418	#e29182	K08867
CaT2T07g03030	1.719	#e29182	K10418
CaT2T03g04190	2.132	#db7765	K13258
CaT2T12g00842	1.578	#e29182	K15891
CaT2T12g00840	1.869	#e29182	K17867
CaT2T02g00930	1.256	#e29182	K01363
CaT2T02g00932	1.364	#e29182	K01363
CaT2T07g00649	1.562	#e29182	K02937
CaT2T07g00648	1.018	#e29182	K15040
CaT2T08g00546	1.988	#e29182	K06130
CaT2T06g01830	1.468	#e29182	K13412
CaT2T11g01999	1.257	#e29182	K08901
CaT2T01g04153	1.195	#e29182	K02960
CaT2T05g00755	1.958	#e29182	K07407
CaT2T03g04439	1.101	#e29182	K16253
CaT2T11g02355	1.408	#e29182	K03011
CaT2T08g01773	1.940	#e29182	K11251
CaT2T01g01476	1.247	#e29182	K12832
CaT2T02g04100	1.583	#e29182	K10268
CaT2T11g01924	1.718	#e29182	K02997
CaT2T11g01927	1.302	#e29182	K01783
CaT2T07g03297	2.233	#db7765	K00876
CaT2T10g01900	1.653	#e29182	K01537
CaT2T03g01772	2.788	#db7765	K15382
CaT2T12g02453	1.045	#e29182	K16298
CaT2T09g02573	1.095	#e29182	K02111
CaT2T06g00769	1.945	#e29182	K02949
CaT2T07g00372	1.442	#e29182	K03098
CaT2T12g02711	1.104	#e29182	K02892
CaT2T03g02402	2.110	#db7765	K13667
CaT2T11g00957	2.234	#db7765	K11254
CaT2T01g02036	1.174	#e29182	K02942
CaT2T08g00678	1.068	#e29182	K11090
CaT2T10g02558	1.468	#e29182	K01193
CaT2T03g02367	1.186	#e29182	K02920
CaT2T09g00540	1.321	#e29182	K13280
CaT2T10g00846	2.316	#db7765	K18754
CaT2T06g03656	1.209	#e29182	K15443
CaT2T05g00376	4.480	#ca462e	K03676
CaT2T09g01360	1.119	#e29182	K09569
CaT2T09g00704	1.020	#e29182	K03327
CaT2T01g04455	1.684	#e29182	K00940
CaT2T01g03225	2.564	#db7765	K02303
CaT2T12g00071	1.484	#e29182	K19589
CaT2T10g02744	1.208	#e29182	K04505
CaT2T10g02743	1.528	#e29182	K03687
CaT2T11g01750	1.797	#e29182	K14492
CaT2T11g01755	2.103	#db7765	K09645
CaT2T03g04601	1.788	#e29182	K14638
CaT2T05g02788	1.215	#e29182	K17808
CaT2T05g01320	1.077	#e29182	K09564
CaT2T05g00142	1.344	#e29182	K13495
CaT2T03g00898	1.767	#e29182	K07466
CaT2T11g02255	1.121	#e29182	K09487
CaT2T03g00791	1.790	#e29182	K11290
CaT2T06g03283	3.760	#d45d48	K16040
CaT2T05g03085	1.599	#e29182	K02918
CaT2T12g00628	2.091	#db7765	K07232
CaT2T02g02393	2.365	#db7765	K03809
CaT2T10g01862	1.743	#e29182	K11294
CaT2T12g02057	2.210	#db7765	K01802
CaT2T03g03252	2.125	#db7765	K17756
CaT2T07g00752	1.275	#e29182	K17771
CaT2T09g00106	1.245	#e29182	K13065
CaT2T02g03045	2.019	#db7765	K02990
CaT2T02g03996	1.369	#e29182	K12271
CaT2T12g02558	1.181	#e29182	K10268
CaT2T03g02550	1.841	#e29182	K01206
